Indicated damage,Damage level,Damaged wing or rotor,Struck lights,Damaged lights,Damaged other,Size
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
False,"N",False,False,False,False,"Small"
